,Layer,Sample_Index,Exhaustive_p,data_aware_p,data_aware_error,data_aware_n,data_unaware_p,data_unaware_error,data_unaware_n,date_per_layer_p,date_per_layer_error,date_per_layer_n
0,0,0,1.4562731180025426,0.013581625553909696,0.006070864559242337,2225.0,0.014540194884287453,0.00042507241279511273,26272.0,0.014349153747579578,0.0023784352620789518,10389.0
1,0,1,1.4562731180025426,0.014605614994942357,0.006292294728506599,2225.0,0.014464068209500603,0.00042397457252554377,26272.0,0.015120642780995812,0.0024405813324553005,10389.0
2,0,2,1.4562731180025426,0.013532855652384332,0.006060104707264661,2225.0,0.014730511571254566,0.0004278039406194357,26272.0,0.014113546259713457,0.0023591098621572023,10389.0
3,0,3,1.4562731180025426,0.014432359260466366,0.006255412796970088,2225.0,0.013778928136419004,0.00041395506921648674,26272.0,0.01530291582042494,0.002455020152846108,10389.0
4,0,4,1.4562731180025426,0.0138721604619727,0.0061345505917084426,2225.0,0.013893118148599271,0.0004156427487651136,26272.0,0.01493814826130772,0.0024260333906707516,10389.0
5,0,5,1.4562731180025426,0.014115623765621532,0.006187384713270278,2225.0,0.013816991473812426,0.0004145184366141118,26272.0,0.013821300243134717,0.00233490330901241,10389.0
6,0,6,1.4562731180025426,0.014321479173514262,0.006231687620543538,2225.0,0.014768574908647992,0.0004283480279977708,26272.0,0.013277383896867003,0.0022891299020270897,10389.0
7,0,7,1.4562731180025426,0.01377174528042191,0.006112618645063454,2225.0,0.014692448233861139,0.0004272591176208407,26272.0,0.014685988016415503,0.002405778033349477,10389.0
8,0,8,1.4562731180025426,0.015075299291748055,0.006391143617774344,2225.0,0.015035018270401952,0.00043213627520625824,26272.0,0.015261307569155107,0.002451732108568954,10389.0
9,0,9,1.4562731180025426,0.014484439087219898,0.0062665235287315945,2225.0,0.014616321559074297,0.0004261672534738358,26272.0,0.014292361583939938,0.00237379220508937,10389.0
10,1,0,0.6518103664019608,0.006392866341529916,0.002634090663012189,5852.0,0.006485522305347744,0.00028375193775456573,115488.0,0.007025504739497403,0.0016704377472255031,14954.0
11,1,1,0.6518103664019608,0.0068535915243193544,0.0027267247664494398,5852.0,0.006338320864505408,0.0002805340866948416,115488.0,0.006530588521723515,0.0016109271208290207,14954.0
12,1,2,0.6518103664019608,0.006507957664149293,0.0026575418487628654,5852.0,0.006269049598226654,0.00027900662675125034,115488.0,0.007094606302045544,0.001678574294125429,14954.0
13,1,3,0.6518103664019608,0.00640050939867819,0.0026356546626668483,5852.0,0.006823219728456641,0.00029099613090139987,115488.0,0.005860282229249291,0.0015265304138468657,14954.0
14,1,4,0.6518103664019608,0.006256849323888831,0.002606096413810909,5852.0,0.006520157938487121,0.0002845036516576225,115488.0,0.004829545454545454,0.0013865142861253506,14954.0
15,1,5,0.6518103664019608,0.006672207473407743,0.0026906463595449894,5852.0,0.006624064837905241,0.0002867466561380833,115488.0,0.006827675757208804,0.0016469151764663893,14954.0
16,1,6,0.6518103664019608,0.006596317430024216,0.0026754030162437826,5852.0,0.006251731781656971,0.0002786234197385902,115488.0,0.006519489055306149,0.0016095665544530098,14954.0
17,1,7,0.6518103664019608,0.006871631812112717,0.0027302863051299866,5852.0,0.006632723746190085,0.00028693276049200666,115488.0,0.006681055270098977,0.0016292561701484027,14954.0
18,1,8,0.6518103664019608,0.0061980076489214185,0.0025938899211562436,5852.0,0.006572111388196182,0.00028562741471047765,115488.0,0.005933513715162524,0.001535982169948084,14954.0
19,1,9,0.6518103664019608,0.006422869816173772,0.0026402248185713514,5852.0,0.006546134663341651,0.0002850661017243062,115488.0,0.006062557633867995,0.0015524940648724884,14954.0
20,2,0,0.6245117187499996,0.006170260241040396,0.0025881133399385664,5852.0,0.006199778331947907,0.00027747054226286106,115488.0,0.005845198966622247,0.0015245762127157952,14954.0
21,2,1,0.6245117187499996,0.006332253983536009,0.0026216536482438213,5852.0,0.006113189249099479,0.00027553808856598005,115488.0,0.005697483240106454,0.0015053007582090487,14954.0
22,2,2,0.6245117187499996,0.0064950025579215455,0.002654912714818709,5852.0,0.0059226932668329235,0.000271237015956717,115488.0,0.006386504530281354,0.0015931726267963378,14954.0
23,2,3,0.6245117187499996,0.006334779498452424,0.002622173065479685,5852.0,0.006372956497644783,0.0002812946263985184,115488.0,0.006009872535466247,0.0015457745363636397,14954.0
24,2,4,0.6245117187499996,0.006139165973954003,0.0025816242492043744,5852.0,0.006312344139650872,0.0002799622909267632,115488.0,0.006560383747178329,0.001614573582244897,14954.0
25,2,5,0.6245117187499996,0.006137395290927515,0.0025812542205178356,5852.0,0.005957328899972292,0.0002720242114788343,115488.0,0.00581813819577735,0.0015210637520236148,14954.0
26,2,6,0.6245117187499996,0.006300143865313048,0.0026150404020827706,5852.0,0.0064422277639235226,0.0002828094110633116,115488.0,0.0067622489444530524,0.0016390593109104634,14954.0
27,2,7,0.6245117187499996,0.00625507864086234,0.0026057299476683186,5852.0,0.006277708506511496,0.0002791980279883951,115488.0,0.006593154346815434,0.001618574442237422,14954.0
28,2,8,0.6245117187499996,0.006634299922368962,0.0026830433327584354,5852.0,0.006338320864505407,0.0002805340866948416,115488.0,0.006537855204342271,0.0016118172280778754,14954.0
29,2,9,0.6245117187499996,0.0063657988242328475,0.0026285441551725016,5852.0,0.0062084372402327545,0.00027766302936338476,115488.0,0.005781288049230313,0.0015162672453666393,14954.0
30,3,0,0.5939805772569449,0.00603294949520224,0.0025593306339927306,5852.0,0.005862080908839016,0.00026985376461233007,115488.0,0.0063533080501263495,0.0015890531920087123,14954.0
