0,27,
1,143,
2,143,
3,143,
4,143,
5,143,
6,143,
7,285,
8,571,
9,571,
10,571,
11,572,
12,571,
13,"1,142",
14,"2,284",
15,"2,284",
16,"2,284",
17,"2,284",
18,"2,284",
19,40,
