,N
0,27648
1,147456
2,147456
3,147456
4,147456
5,147456
6,147456
7,294912
8,589824
9,589824
10,589824
11,590464
12,589824
13,1179648
14,2359296
15,2359296
16,2359296
17,2359296
18,2359296
19,40960
